entity_id_a,entity_id_b,name_a,name_b,bn_root_a,bn_root_b,province_a,province_b,total_flow_a,total_flow_b,edit_type,name_similarity_score
1432,322205,BAPTIST MID-MISSIONS,Baptist Mid Missions,106771710,006771710,NB,SK,5908324239.0,72778.0,substitution,100.0
1432,356424,BAPTIST MID-MISSIONS,Baptist Mid Missions,106771710,010677171,NB,SK,5908324239.0,11667.0,insertion_deletion,100.0
22846,107987,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS SOCIETY,119219814,011921981,NB,AB,904178309.59,501836241.91999996,insertion_deletion,100.0
30743,232190,ISANS. IMMIGRANT SERVICES ASSOCIATION OF NOVA SCOTIA,Immigrant Services Association of Nova Scotia (ISANS),131704330,121704330,NS,NS,1092462631.88,423466.0,substitution,100.0
98206,410487,METIS NATION OF ALBERTA,MACTIS NATION OF ALBERTA ASSOCIATION,129986774,129956774,AB,AB,1023846608.59,8400.0,substitution,92.7
22846,331323,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,192198140,NB,ON,904178309.59,449350.0,insertion_deletion,100.0
22846,271509,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119219614,NB,MB,904178309.59,266477.0,substitution,100.0
22846,310195,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CROIX ROUGE CANADIENNE,119219814,119219514,NB,,904178309.59,214060.0,substitution,100.0
22846,307313,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Croix Rouge Canadienne,119219814,119119814,NB,QC,904178309.59,134426.0,substitution,100.0
22846,309262,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,119216814,NB,QC,904178309.59,93119.0,substitution,100.0
22846,318455,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119218814,NB,SK,904178309.59,41106.0,substitution,100.0
22846,362275,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,SOCIÉTÉ CANADIENNE DE LA CROIX-ROUGE,119219814,119319814,NB,QC,904178309.59,23376.0,substitution,100.0
22846,326923,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,019219814,NB,MB,904178309.59,11565.0,substitution,100.0
22846,403094,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,119219884,NB,ON,904178309.59,10600.0,substitution,100.0
22846,372855,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,110219814,NB,ON,904178309.59,3300.0,substitution,100.0
22846,321707,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross Society,119219814,119214814,NB,SK,904178309.59,3040.0,substitution,100.0
22846,395017,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,117219814,NB,ON,904178309.59,2255.0,substitution,100.0
22846,314882,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,119219817,NB,ON,904178309.59,1175.0,substitution,100.0
22846,365277,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,719219814,NB,ON,904178309.59,1000.0,substitution,100.0
22846,352322,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119219811,NB,AB,904178309.59,970.0,substitution,100.0
22846,319870,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,113219814,NB,ON,904178309.59,550.0,substitution,100.0
22846,374077,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,119211814,NB,ON,904178309.59,500.0,substitution,100.0
22846,361411,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,118219814,NB,ON,904178309.59,411.0,substitution,100.0
22846,413439,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,The Canadian Red Cross Society/La Societe Canadienne de la C,119219814,119519814,NB,ON,904178309.59,250.0,substitution,100.0
22846,323236,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119219816,NB,ON,904178309.59,237.0,substitution,100.0
22846,400684,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119719814,NB,BC,904178309.59,50.0,substitution,100.0
22846,334123,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CANADIAN RED CROSS,119219814,119219414,NB,ON,904178309.59,20.0,substitution,100.0
22846,416042,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,111921981,NB,SK,904178309.59,15.0,insertion_deletion,100.0
22846,398103,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,Canadian Red Cross,119219814,119279814,NB,SK,904178309.59,0.0,substitution,100.0
22846,332123,THE CANADIAN RED CROSS SOCIETY / LA SOCIETE CANADIENNE DE LA CROIX-ROUGE,CROIX-ROUGE CANADIENNE,119219814,119229814,NB,,904178309.59,0.0,substitution,100.0
1165,390406,FEDERATION CJA,CJA FEDERATION,106702251,106706251,QC,QC,802225792.0,350.0,substitution,100.0
24866,419142,UNIVERSITY OF OTTAWA / UNIVERSITÉ D'OTTAWA,UNIVERSITÉ D'OTTAWA,119278877,119278879,ON,QC,580166631.7299999,1000.0,substitution,100.0
9706,360070,L'Église Adventiste du Septième Jour-Fédération du Québec / Seventh-Day Adventist Church Quebec Conference,Quebec Conference of Seventh-Day Adventist Church,118793074,118793071,QC,BC,557903521.0,13263.0,substitution,100.0
10928,314413,CANADIAN FOODGRAINS BANK ASSOCIATION INC/ASSOCIATION DE LA BANQUE CANADIENNE DE GRAINS INC.,CANADIAN FOOD GRAINS BANK,118831106,118331106,MB,ON,522204021.0,33927.0,substitution,98.0
10928,371707,CANADIAN FOODGRAINS BANK ASSOCIATION INC/ASSOCIATION DE LA BANQUE CANADIENNE DE GRAINS INC.,Canadian Food Grains Bank,118831106,118821106,MB,MN,522204021.0,1325.0,substitution,98.0
13801,423360,Fondation CHU Sainte-Justine / Sainte-Justine UHC Foundation,Fondation Chu Sainte-Justine/Sainte-Justine Uhc Foundatio,118921667,118921687,QC,,505064267.0,2343.0,substitution,100.0
107987,361100,CANADIAN RED CROSS SOCIETY,The Canadian Red Cross Soc,011921981,011921984,AB,ON,501836241.91999996,9500.0,substitution,90.0
107987,314882,CANADIAN RED CROSS SOCIETY,CANADIAN RED CROSS,011921981,119219817,AB,ON,501836241.91999996,1175.0,insertion_deletion,100.0
107987,352322,CANADIAN RED CROSS SOCIETY,Canadian Red Cross,011921981,119219811,AB,AB,501836241.91999996,970.0,insertion_deletion,100.0
107987,323236,CANADIAN RED CROSS SOCIETY,Canadian Red Cross,011921981,119219816,AB,ON,501836241.91999996,237.0,insertion_deletion,100.0
107987,416042,CANADIAN RED CROSS SOCIETY,Canadian Red Cross,011921981,111921981,AB,SK,501836241.91999996,15.0,substitution,100.0
26697,311420,CANADIAN UNICEF COMMITTEE/COMITE UNICEF CANADA,UNICEF COMMITTEE CANADA,122680572,123680572,ON,ON,486875189.0,500.0,substitution,95.8
23686,98719,THE NATURE CONSERVANCY OF CANADA/LA SOCIETE CANADIENNE POUR LA CONSERVATION DE LA NATURE,Nature Conservancy of Canada,119246544,119245544,ON,NB,449142627.0,1554004.0,substitution,100.0
80380,406592,UNIVERSITE CONCORDIA,Concordia University,106966591,106986591,QC,QC,443623614.09000003,5537455.0,substitution,95.0
23686,379719,THE NATURE CONSERVANCY OF CANADA/LA SOCIETE CANADIENNE POUR LA CONSERVATION DE LA NATURE,Native Conservancy Canada,119246544,119246844,ON,ON,449142627.0,487.0,substitution,92.0
10506,320300,BC CANCER FOUNDATION,B.C. Cancer Foundation,118818434,118818435,BC,,446515008.0,83255.0,substitution,94.7
92,367081,CENTRE FOR NEWCOMERS SOCIETY OF CALGARY,CANTRE FOR NEWCOMERS SOCIETY OF CALGARY,100731660,100721660,AB,AB,421177383.59999996,19678.0,substitution,96.4
14066,397956,PLAN INTERNATIONAL CANADA INC.,PLAN INTERNATIONAL CANADA INC,118928993,118928933,ON,AB,420091552.0,1711.0,substitution,100.0
8316,324517,THE UNITED CHURCH OF CANADA,"""United church of Canada",108102435,103102435,ON,Toronto,407439653.0,27597.0,substitution,100.0
97328,321477,University of Toronto,University of Toronto,010816230,010816233,ON,ON,376042849.26,108750.0,substitution,100.0
97328,324298,University of Toronto,University of Toronto- TYP,010816230,108162300,ON,,376042849.26,70000.0,insertion_deletion,90.0
105091,227154,Matawa First Nations Management,MATAWA FIRST NATIONS MANAGEMENT,127928030,127925030,ON,ON,359585950.56,1167750.0,substitution,100.0
105105,245892,Driftpile Cree Nation,DRIFTPILE CREE NATION,866553050,886655305,AB,AB,353012610.88,50000.0,insertion_deletion,100.0
13793,316826,La fondation de l'hôpital de montréal pour enfants/The Montréal Children's Hospital Foundation,FONDATION HOPITAL MONTRÉAL POUR ENFANTS,118921543,108921543,QC,,304275500.0,72797.0,substitution,96.7
9291,360760,ALBERTA CANCER FOUNDATION,ALBERTA CANCER FOUNDATION,118780477,118780447,AB,BC,303932126.0,100.0,substitution,100.0
8300,306531,THE TERRY FOX FOUNDATION,Terry Fox Foundation,108099979,108099978,BC,ON,301369262.0,45770.0,substitution,100.0
8300,368211,THE TERRY FOX FOUNDATION,The Terry Fox Foundation,108099979,107099979,BC,SK,301369262.0,15442.0,substitution,100.0
