bnless_entity_id,bnless_name,branch_suffix,bn_entity_id,bn_entity_name,bn_root,province,bn_entity_flow,bnless_entity_flow
105020,Gouvernement du Québec - Ministère de la santé et des Services sociaux,Ministère de la santé et des Services sociaux,86938,GOUVERNEMENT DU QUÉBEC,869515601,QC,1490535460.0,19709595563.0
110560,CITY OF OTTAWA - SHENKMAN ARTS CENTRE,SHENKMAN ARTS CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,201000.0
408131,City of Ottawa (Alexander Park SENS RINK),Alexander Park SENS RINK,100726,City of Ottawa,863935995,ON,3892904063.64,161311.0
408865,City of Ottawa - Overbrook,Overbrook,100726,City of Ottawa,863935995,ON,3892904063.64,154635.0
347621,City of Ottawa (Canterbury Park SENS RINK),Canterbury Park SENS RINK,100726,City of Ottawa,863935995,ON,3892904063.64,100000.0
405370,City of Ottawa - I Love to Skate Programs/Cdn Tire Jumpstart,I Love to Skate Programs/Cdn Tire Jumpstart,100726,City of Ottawa,863935995,ON,3892904063.64,73701.0
411176,City of Ottawa (Day Camp),Day Camp,100726,City of Ottawa,863935995,ON,3892904063.64,34000.0
384132,City of Ottawa (I Love to Skate Program),I Love to Skate Program,100726,City of Ottawa,863935995,ON,3892904063.64,30000.0
272291,CITY OF OTTAWA - PUBLIC ART PROGRAM,PUBLIC ART PROGRAM,100726,City of Ottawa,863935995,ON,3892904063.64,24772.0
384133,City of Ottawa - Sens Youth Camp Britannia (SENS Camperships,Sens Youth Camp Britannia (SENS Camperships,100726,City of Ottawa,863935995,ON,3892904063.64,24002.0
408132,City of Ottawa - Sens Youth Camp Alexander (SENS Camperships,Sens Youth Camp Alexander (SENS Camperships,100726,City of Ottawa,863935995,ON,3892904063.64,21336.0
315823,City of Ottawa - Sens Brookies Camp (SENS Camperships),Sens Brookies Camp (SENS Camperships),100726,City of Ottawa,863935995,ON,3892904063.64,21336.0
417207,City of Ottawa - I Love to Play Hockey/CDN Tire Jumpstart,I Love to Play Hockey/CDN Tire Jumpstart,100726,City of Ottawa,863935995,ON,3892904063.64,14000.0
384131,City of Ottawa (I Love to Play Hockey Program),I Love to Play Hockey Program,100726,City of Ottawa,863935995,ON,3892904063.64,10000.0
411177,City of Ottawa - I Love to Play Hockey Program/Cdn Tire Jump,I Love to Play Hockey Program/Cdn Tire Jump,100726,City of Ottawa,863935995,ON,3892904063.64,8559.0
386789,City of Ottawa - Plant Pool Recreation Centre,Plant Pool Recreation Centre,100726,City of Ottawa,863935995,ON,3892904063.64,5633.0
379309,CITY OF OTTAWA - MICHELE HEIGHTS COMMUNITY CENTRE,MICHELE HEIGHTS COMMUNITY CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,5250.0
334581,City of Ottawa - Greenboro Community Centre,Greenboro Community Centre,100726,City of Ottawa,863935995,ON,3892904063.64,4441.0
375885,City of Ottawa (Heron Road Community Centre),Heron Road Community Centre,100726,City of Ottawa,863935995,ON,3892904063.64,3506.0
336982,City of Ottawa - Bob Macquarrie Rec Centre,Bob Macquarrie Rec Centre,100726,City of Ottawa,863935995,ON,3892904063.64,3094.0
329669,City of Ottawa - Canterbury Pool,Canterbury Pool,100726,City of Ottawa,863935995,ON,3892904063.64,3066.0
390463,City of Ottawa - Constance & Buckman's Bay Community Assoc.,Constance & Buckman's Bay Community Assoc.,100726,City of Ottawa,863935995,ON,3892904063.64,3000.0
420349,CITY OF OTTAWA - ALBION-HEATHERINGTON,ALBION-HEATHERINGTON,100726,City of Ottawa,863935995,ON,3892904063.64,2817.0
325197,City of Ottawa - Sawmill Creek Swimming Pool,Sawmill Creek Swimming Pool,100726,City of Ottawa,863935995,ON,3892904063.64,2323.0
357811,CITY OF OTTAWA - RICHCRAFT,RICHCRAFT,100726,City of Ottawa,863935995,ON,3892904063.64,2317.0
329623,City of Ottawa - Pinecrest,Pinecrest,100726,City of Ottawa,863935995,ON,3892904063.64,2314.0
339523,City of Ottawa - Splash Pool,Splash Pool,100726,City of Ottawa,863935995,ON,3892904063.64,2203.0
331201,CITY OF OTTAWA - FOSTER FARM COMMUNITY,FOSTER FARM COMMUNITY,100726,City of Ottawa,863935995,ON,3892904063.64,2000.0
359225,CITY OF OTTAWA - CARLINGTON RECREATION CENTRE,CARLINGTON RECREATION CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,1900.0
337060,CITY OF OTTAWA - PLANT RECREATION CENTRE,PLANT RECREATION CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,1736.0
360510,City of Ottawa - Jim Durrell Rec Center,Jim Durrell Rec Center,100726,City of Ottawa,863935995,ON,3892904063.64,1717.0
331126,City of Ottawa - Walter Baker Centre,Walter Baker Centre,100726,City of Ottawa,863935995,ON,3892904063.64,1526.0
395498,CITY OF OTTAWA - CANTERBURY RECREATION COMPLEX,CANTERBURY RECREATION COMPLEX,100726,City of Ottawa,863935995,ON,3892904063.64,1332.0
401781,CITY OF OTTAWA - NEPEAN SPORTSPLEX,NEPEAN SPORTSPLEX,100726,City of Ottawa,863935995,ON,3892904063.64,1285.0
310769,City of Ottawa - Alexander Community Ctr,Alexander Community Ctr,100726,City of Ottawa,863935995,ON,3892904063.64,1200.0
391266,CITY OF OTTAWA - BELLEVUE COMMUNITY,BELLEVUE COMMUNITY,100726,City of Ottawa,863935995,ON,3892904063.64,1000.0
395499,CITY OF OTTAWA - PAT CLARK (CYRVILLE),PAT CLARK (CYRVILLE),100726,City of Ottawa,863935995,ON,3892904063.64,1000.0
365920,City of Ottawa - Alexander Community Ctr Total,Alexander Community Ctr Total,100726,City of Ottawa,863935995,ON,3892904063.64,1000.0
379298,City of Ottawa - Ray Friel Rec. Complex,Ray Friel Rec. Complex,100726,City of Ottawa,863935995,ON,3892904063.64,868.0
339381,City of Ottawa - Splash Pool Total,Splash Pool Total,100726,City of Ottawa,863935995,ON,3892904063.64,827.0
375907,CITY OF OTTAWA - CARLETON HEIGHTS COMMUNITY CENTRE,CARLETON HEIGHTS COMMUNITY CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,600.0
343347,City of Ottawa - Walter Baker Sports Centre,Walter Baker Sports Centre,100726,City of Ottawa,863935995,ON,3892904063.64,508.0
357686,City of Ottawa - Jim Durrell Rec Center Total,Jim Durrell Rec Center Total,100726,City of Ottawa,863935995,ON,3892904063.64,500.0
379215,City of Ottawa - Bob Macquarrie Rec Centre Total,Bob Macquarrie Rec Centre Total,100726,City of Ottawa,863935995,ON,3892904063.64,437.0
387574,CITY OF OTTAWA - PINECREST RECREATION COMPLEX,PINECREST RECREATION COMPLEX,100726,City of Ottawa,863935995,ON,3892904063.64,377.0
401755,City of Ottawa - Skating,Skating,100726,City of Ottawa,863935995,ON,3892904063.64,353.0
375411,City of Ottawa - Parks & Rec,Parks & Rec,100726,City of Ottawa,863935995,ON,3892904063.64,335.0
357810,CITY OF OTTAWA - EVA JAMES MEMORIAL,EVA JAMES MEMORIAL,100726,City of Ottawa,863935995,ON,3892904063.64,327.0
337061,CITY OF OTTAWA - SAWMILL CREEK,SAWMILL CREEK,100726,City of Ottawa,863935995,ON,3892904063.64,314.0
388669,City of Ottawa - Brewer Pool and Arena,Brewer Pool and Arena,100726,City of Ottawa,863935995,ON,3892904063.64,305.0
375477,CITY OF OTTAWA - SPLASH WAVE POOL,SPLASH WAVE POOL,100726,City of Ottawa,863935995,ON,3892904063.64,303.0
392243,City of Ottawa - Beacon Hill North Total,Beacon Hill North Total,100726,City of Ottawa,863935995,ON,3892904063.64,300.0
360549,CITY OF OTTAWA - DEBORAH ANNE KIRWAN POOL,DEBORAH ANNE KIRWAN POOL,100726,City of Ottawa,863935995,ON,3892904063.64,250.0
392318,CITY OF OTTAWA - THERAPEUTIC RECREATION PROGRAMS,THERAPEUTIC RECREATION PROGRAMS,100726,City of Ottawa,863935995,ON,3892904063.64,200.0
