source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
4353722,ON,corporations_canada,CRESCENT VILLAGE TRUST,,138 YORKLAND STREET,L4S1J1,RICHMOND HILL,Canada Not-for-profit Corporations Act,needs_review,857086375,CRESCENT VILLAGE TRUST,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
9643010,ON,corporations_canada,Canadian Council for Career Development,Conseil canadien pour le développement de carrière,202 - 119 Ross Avenue,K1Y0N6,Ottawa,Canada Not-for-profit Corporations Act,needs_review,128957461,CANADIAN CAREER DEVELOPMENT FOUNDATION/FONDATION CANADIENNE POUR L'AVANCEMENT DE LA CARRIRE,81.81818181818181,,fuzzy,,,,,,,,,,,mid_band_score,,,
217247,MB,corporations_canada,Canadian Society for Agricultural and Biosystems Engineering,La Société Canadienne de Génie Agroalimentaire et des Biosystèmes,E2-376 EITC BUILDING,R3T5V6,WINNIPEG,Canada Not-for-profit Corporations Act,needs_review,883586901,Canadian Society for Agricultural and Biosystems Engineering Foundation,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
8366055,NF,corporations_canada,Islamic Center of Newfoundland and Labrador,,"3, LARNER STREET",A1A5S8,ST.JOHN'S,Canada Not-for-profit Corporations Act,needs_review,139820864,KIDS EAT SMART FOUNDATION NEWFOUNDLAND AND LABRADOR INC.,75.0,73.97260273972603,fuzzy,,,,,,,,,,,mid_band_score,,,
9091955,QC,corporations_canada,FONDATION MIRO,,6226 rue De La Roche,H2S2E1,Montréal,Canada Not-for-profit Corporations Act,needs_review,804594430,Fondation Miro,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
3806812,ON,corporations_canada,The Corporation of Lorne Park Baptist Church,,1500 INDIAN ROAD,L5H1S7,MISSISSAUGA,Canada Not-for-profit Corporations Act,needs_review,119024693,THE CORPORATION OF LORNE PARK BAPTIST CHURCH,100.0,41.379310344827594,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
8225036,ON,corporations_canada,The Advocates' Society,,2700 - 250 Yonge Street,M5B2L7,TORONTO,Canada Not-for-profit Corporations Act,needs_review,848687091,The Advocates' Society Foundation,100.0,31.57894736842105,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
2616441,ON,corporations_canada,The William Shenkman Foundation,,4899 UPLANDS DRIVE,K1V2N6,OTTAWA,Canada Not-for-profit Corporations Act,needs_review,888228665,The William Shenkman Foundation,100.0,51.61290322580645,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
3782760,ON,corporations_canada,HANOVER MISSIONARY CHURCH,,628-11TH STREET,N4N1T7,HANOVER,Canada Not-for-profit Corporations Act,needs_review,119245538,HANOVER MISSIONARY CHURCH,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
2651874,ON,corporations_canada,Animal Alliance of Canada,Alliance Animale du Canada,221 BROADVIEW AVENUE,M4M2G3,TORONTO,Canada Not-for-profit Corporations Act,needs_review,766920334,Animal Alliance of Canada Fund,85.71428571428572,30.76923076923077,fuzzy,,,,,,,,,,,mid_band_score,,,
