source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
3220371,NS,corporations_canada,HARBOUR AUTHORITY OF MABOU HARBOUR,,1287 MABOU HARBOUR ROAD,B0E1X0,MABOU,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,48.14814814814815,,,,,,needs_review,139669,Harbour Authority of Mabou Harbour,100.0,,6,24031.0,grant_entity_claimed_by_multiple_orgs,,,
3597768,NF,corporations_canada,Harbour Authority of Frenchman's Cove,,10 SWEETAPPLE DRIVE,A0L1J0,MOUNT MORIAH,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,41.269841269841265,,,,,,needs_review,262470,Harbour Authority of French Creek,87.09677419354838,82.75862068965517,2,9870.0,mid_band_score,,,
3223680,NS,corporations_canada,HARBOUR AUTHORITY OF PORT MORIEN,,P. O. 3802,B1B1B5,PORT MORIEN,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,30.000000000000004,,,,,,needs_review,265338,HARBOUR AUTHORITY OF PORT LATOUR,86.20689655172413,85.71428571428572,1,130000.0,mid_band_score,,,
9617400,ON,corporations_canada,Canadian Institute of Mass Communication,,24 Noblesse Avenue,K2G6S4,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,60.0,,,,,,needs_review,182949,Canadian Institute of Steel Construction,78.37837837837837,74.62686567164178,1,27124646.0,mid_band_score,,,
9568972,ON,corporations_canada,CANADIAN INTERNATIONAL CAPITAL DEVELOPMENT TRUST FUND,,2288-100 CITY CENTRE DRIVE,L5B3C8,MISSISSAUGA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,36.170212765957444,,,,,,needs_review,134737,CANADIAN CAREER DEVELOPMENT FOUNDATION,76.66666666666666,76.47058823529412,7,2301738.1100000003,mid_band_score,,,
8131309,QC,corporations_canada,LE BONHEUR DU CIEL-CANADA,,336 BOULEVARD CARTIER OUEST,H7N2J6,LAVAL,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,52.17391304347826,,,,,,needs_review,108220,Le bonheur de Sophie,76.92307692307692,37.03703703703704,1,0.0,mid_band_score,,,
8068810,AB,corporations_canada,White Eagle Sustainable Development,,2102-12 AVENUE NW,T2N4X1,CALGARY,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,58.06451612903225,,,,,,needs_review,289189,White Hats Organization for Sustainable Development (WHOSD),78.48101265822784,67.74193548387098,1,40000.0,mid_band_score,,,
3354652,PE,corporations_canada,Harbour Authority of Bay Fortune,,HOWE BAY,C0A2B0,SOURIS,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,48.38709677419355,,,,,,needs_review,234668,Harbour Authority of Fortune,92.5925925925926,92.5925925925926,3,7010000.0,grant_entity_claimed_by_multiple_orgs,,,
3984591,QC,corporations_canada,Administration portuaire de Rivière-au-Tonnerre,,C P 157,G0G2L0,Rivière-au-Tonnerre,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,32.6530612244898,,,,,,needs_review,230061,Administration portuaire de Trois-Rivières,87.5,87.5,2,7545996.0,mid_band_score,,,
8304220,ON,corporations_canada,"IIT BOMBAY ALUMNI ASSOCIATION, CANADA CHAPTER",,1511 HOLLYWELL AVENUE,L5N4P6,MISSISSAUGA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,45.614035087719294,,,,,,needs_review,,,,,,,no_blocking_key,,,
8874387,ON,corporations_canada,George Kasey Foundation Inc.,,243 Highway 17 W.,P0P2A0,Spanish,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,32.55813953488372,,,,,,needs_review,269746,"George, Karley",88.0,78.26086956521739,1,27000.0,mid_band_score,,,
4342089,ON,corporations_canada,UJA Federation of Greater Toronto,,"4600, BATHURST STREET",M2R3V2,TORONTO,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,73.17073170731707,,,,,,needs_review,,,,,,,no_blocking_key,,,
4195230,ON,corporations_canada,OTTAWA COMMUNITY ICE PARTNERS,,1000 PROMENADE PALLADIUM DRIVE,K2V1A5,OTTAWA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,63.829787234042556,,,,,,needs_review,163869,Ottawa Tennis Community Centre,76.92307692307692,75.86206896551724,1,3797.0,mid_band_score,,,
9259813,ON,corporations_canada,YTB Gallery,,304 - 12 Lansdowne Ave,M6K2V8,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.0,,,,,,needs_review,,,,,,,no_blocking_key,,,
8132658,ON,corporations_canada,AFRICAN WOMEN COALITION INITIATIVE,,2415 JANE STREET,M3M1A9,TORONTO,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,53.06122448979591,,,,,,needs_review,106714,African Community Wellness Initiative,76.05633802816901,71.1864406779661,3,123016.0,mid_band_score,,,
8304335,ON,corporations_canada,OAKTREE COUNSELLING CENTRE,,74 FENWOOD HTS,M1M2V8,TORONTO,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,46.15384615384615,,,,,,needs_review,,,,,,,no_blocking_key,,,
4510585,AB,corporations_canada,Canadian Alliance for Self-Determination,,17 DOUGLASDALE POINT SE,T2Z3A3,CALGARY,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,30.508474576271183,,,,,,needs_review,270031,THE CANADIAN FEMINIST ALLIANCE FOR INTERNATIONAL ACTION,77.14285714285715,72.46376811594203,3,160000.0,mid_band_score,,,
3248330,NF,corporations_canada,Harbour Authority of Sibleys Cove,,14 Solomans Rd.,A0B1H0,Sibleys Cove,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.847457627118644,,,,,,needs_review,289671,HARBOUR AUTHORITY OF SEELEYS COVE,93.33333333333333,88.52459016393442,1,115000.0,grant_entity_claimed_by_multiple_orgs,,,
3196135,NS,corporations_canada,HARBOUR AUTHORITY OF NORTH WEST COVE,,2522 HWY 329 SOUTH,B0J1T0,HUBBARDS,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,46.875,,,,,,needs_review,238848,Harbour Authority of Ochre Pit Cove,83.07692307692307,82.53968253968253,8,31748.0,mid_band_score,,,
8224510,ON,corporations_canada,Tiregwa,,"83, POLO LANE",K2M2Y4,KANATA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,37.5,,,,,,needs_review,228640,Tireka Ltd.,76.92307692307692,66.66666666666667,2,100000.0,mid_band_score,,,
4074785,QC,corporations_canada,ADMINISTRATION PORTUAIRE DU HAVRE POLYVALENT DE CAP-AUX-MEULES,,"261, CHEMIN DU QUAI",G4T1J4,CAP-AUX-MEULES,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,45.56962025316456,,,,,,needs_review,199712,Administration portuaire du havre polyvalent de Sainte-Anne-des-Monts,82.88288288288288,72.72727272727273,4,249113.0,mid_band_score,,,
2575876,NF,corporations_canada,HARBOUR AUTHORITY OF HERMITAGE,,18 HARBOUR VIEW RD WHITE OFFICE BUILDING,A0H1S0,HERMITAGE,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,47.27272727272728,,,,,,needs_review,371199,Harbour Authority of Margaree,83.01886792452831,82.35294117647058,1,6006.0,mid_band_score,,,
2717093,QC,corporations_canada,HARBOUR AUTHORITY OF GROSSE-ILE,,5 - 006 CH. JERRY,G4T6B9,GROSSE-ILE,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,47.05882352941176,,,,,,needs_review,301498,HARBOUR AUTHORITY OF MILL COVE,83.63636363636364,82.14285714285714,2,1554167.4,mid_band_score,,,
3584518,NF,corporations_canada,Harbour Authority of Petite Forte,,7 Main Road,A0E3A0,Petite Forte,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,52.0,,,,,,needs_review,234668,Harbour Authority of Fortune,95.83333333333334,95.83333333333334,3,7010000.0,grant_entity_claimed_by_multiple_orgs,,,
4550811,NS,corporations_canada,Sustainability Frontiers,,"5940, SOUTH STREET",B3H1S6,HALIFAX,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,36.36363636363637,,,,,,needs_review,177520,The Sustainability Project Inc.,78.26086956521739,73.07692307692308,2,30528.0,mid_band_score,,,
3747255,NF,corporations_canada,Harbour Authority of Glovertown,,2 RIVERSIDE ROAD,A0G2M0,GLOVERTOWN SOUTH,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,56.52173913043479,,,,,,needs_review,160719,Harbour Authority of Glovertown,100.0,86.79245283018868,10,37237.0,grant_entity_claimed_by_multiple_orgs,,,
356484,ON,corporations_canada,CHAMPLAIN FLYING CLUB,,P. O. BOX  33,K7V4A2,RENFREW,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,33.333333333333336,,,,,,needs_review,254026,Champlain Sailing Club,84.84848484848484,75.0,2,15141.0,mid_band_score,,,
8746974,ON,corporations_canada,8746974 Canada Association,,4280 BINBROOK RD,L0R1C0,BINBROOK,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,5.405405405405405,,,,,,needs_review,,,,,,,no_blocking_key,,,
3089665,ON,corporations_canada,The Pillar Society Corporation -,La Corporation Société Pillar,1941 OGILVIE ROAD,K1J1B7,OTTAWA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,47.05882352941176,,,,,,needs_review,270204,Pillr Inc,90.9090909090909,63.1578947368421,1,50000.0,low_confidence_fuzzy_match,,,
